SKU;Descrição;Validade;Estoque
12410129;MAGGI Caldo Po Galinha 96x35g BR;01/01/2027;0
12412175;NDG Minime ArctGryBlk2 127V BR;18/10/2034;0
12413903;NESTLE Creme deLeiteUht 10%Gdr 27x200gBR;01/09/2026;0
12414668;NESTLE FarinhaLactea 9x600gPRL600P500gBR;01/03/2027;0
12416237;SERENATA DE AMOR Wafer Cstn 10x825g XW;13/01/2027;2390
12418204;NESTON 3 Cereais Sachet 9x600g N2 BR;01/12/2026;63
12418415;NESFIT CerMat 0%Adicao Acucar 24x220g BR;10/08/2026;1
12420220;NESFIT Delice Bisc CacaueAvela 45x140gBR;10/12/2026;0
12420221;NESFIT DeliceBiscMacaeCanela 45x140g BR;02/01/2027;0
12420288;NEGRESCO Bisc Rech Coberto 36x120g BR;05/12/2026;0
12424483;NESTOGENO 1 Formula Infantil 12x400gN3BR;01/08/2026;0
12425965;NINHO 1+ PREBIO 1 Fases Lepo 6x800g N3BR;01/02/2027;0
12427483;PRE NAN DS200 12x400g BR;30/06/2027;0
12429007;NUTREN Protein Chocolate Po 12x400g BR;01/02/2027;0
12434564;NINHO 1+ PBIO1 Fases LepoSac 12x800gN3BR;01/10/2026;0
12439442;NESFIT Biscoito Cacau e Cereais48x160gBR;29/11/2026;0
12439444;NESFIT Bisc Laranja e Cenoura 48x160g BR;10/12/2026;0
12439451;NESFIT Biscoito Mrg e Cereais 48x160g BR;12/10/2026;0
12439453;NESFIT Biscoito LimaoeCereais 48x160g BR;14/11/2026;18
12439496;NESFIT Biscoito Coco 48x160g BR;12/09/2026;0
12439508;NESFIT Bisc Banana Ava e Canl 48x160g BR;27/12/2026;90
12439522;KITKAT Rech&Cob Choc NPro 6x1,01kg BR;07/01/2027;0
12439770;MOCA LeiCond Light Desn Cxnha 27x410g BR;01/07/2026;0
12440848;MOCA Lei CondSemiDesn Caixinha 27x340gBR;#N/D;490
12442206;NESCAFE TRADICAO Forte Sachet 24x40g BR;01/04/2027;0
